what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.repository,2.3.0.v20131211-1531,"org.eclipse.equinox.p2.repository",1427999256853
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.2.0.v20140422-1847,"org.eclipse.equinox.p2.ui.sdk.scheduler",1427999256854
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20131119-0908,"org.eclipse.equinox.p2.updatechecker",1427999256855
started,bundle,org.eclipse.equinox.preferences,3.5.200.v20140224-1527,"org.eclipse.equinox.preferences",1427999256857
started,bundle,org.eclipse.equinox.registry,3.5.400.v20140428-1507,"org.eclipse.equinox.registry",1427999256858
started,bundle,org.eclipse.equinox.security,1.2.0.v20130424-1801,"org.eclipse.equinox.security",1427999256861
started,bundle,org.eclipse.equinox.util,1.0.500.v20130404-1337,"org.eclipse.equinox.util",1427999256862
started,bundle,org.eclipse.help,3.6.0.v20130326-1254,"org.eclipse.help",1427999256864
started,bundle,org.eclipse.jface,3.10.2.v20141021-1035,"org.eclipse.jface",1427999256864
started,bundle,org.eclipse.jsch.core,1.1.500.v20131112-1442,"org.eclipse.jsch.core",1427999256865
started,bundle,org.eclipse.ltk.core.refactoring,3.6.101.v20140817-1500,"org.eclipse.ltk.core.refactoring",1427999256867
started,bundle,org.eclipse.ltk.ui.refactoring,3.7.100.v20140324-1358,"org.eclipse.ltk.ui.refactoring",1427999256868
started,bundle,org.eclipse.php.core,3.4.0.201502171754,"org.eclipse.php.core",1427999256870
started,bundle,org.eclipse.php.refactoring.core,3.4.0.201502171754,"org.eclipse.php.refactoring.core",1427999256871
started,bundle,org.eclipse.php.refactoring.ui,3.4.0.201502171754,"org.eclipse.php.refactoring.ui",1427999256873
started,bundle,org.eclipse.php.ui,3.4.0.201502171754,"org.eclipse.php.ui",1427999256876
started,bundle,org.eclipse.search,3.9.100.v20140226-1637,"org.eclipse.search",1427999256878
started,bundle,org.eclipse.team.core,3.7.0.v20130514-1224,"org.eclipse.team.core",1427999256879
started,bundle,org.eclipse.team.ui,3.7.100.v20130710-1213,"org.eclipse.team.ui",1427999256880
started,bundle,org.eclipse.ui,3.106.1.v20141002-1150,"org.eclipse.ui",1427999256882
started,bundle,org.eclipse.ui.console,3.5.300.v20140424-1437,"org.eclipse.ui.console",1427999256883
started,bundle,org.eclipse.ui.editors,3.8.200.v20140401-1310,"org.eclipse.ui.editors",1427999256885
started,bundle,org.eclipse.ui.forms,3.6.100.v20140422-1825,"org.eclipse.ui.forms",1427999256887
started,bundle,org.eclipse.ui.ide,3.10.2.v20141118-1227,"org.eclipse.ui.ide",1427999256891
started,bundle,org.eclipse.ui.intro,3.4.200.v20130326-1254,"org.eclipse.ui.intro",1427999256892
started,bundle,org.eclipse.ui.intro.universal,3.2.701.v20150204-1123,"org.eclipse.ui.intro.universal",1427999256892
started,bundle,org.eclipse.ui.navigator,3.5.401.v20140724-1117,"org.eclipse.ui.navigator",1427999256932
started,bundle,org.eclipse.ui.net,1.2.200.v20120807-0927,"org.eclipse.ui.net",1427999256934
started,bundle,org.eclipse.ui.themes,1.0.1.v20141126-1957,"org.eclipse.ui.themes",1427999256934
started,bundle,org.eclipse.ui.views,3.7.0.v20140408-0703,"org.eclipse.ui.views",1427999256936
started,bundle,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"org.eclipse.ui.workbench",1427999256937
started,bundle,org.eclipse.ui.workbench.texteditor,3.9.0.v20140411-1521,"org.eclipse.ui.workbench.texteditor",1427999256940
started,bundle,org.eclipse.update.configurator,3.3.300.v20140518-1928,"org.eclipse.update.configurator",1427999256942
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1427999256942
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1427999256943
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1427999256945
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1427999256947
started,bundle,org.eclipse.jdt.core,3.7.1.v_B76_R37x,"org.eclipse.jdt.core",1427999256953
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1427999256955
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1427999256957
